,Pickups,MedianIncome,TotalPopulation,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit,Trip_Miles,Trip_Seconds,cluster
498,4315,72857,3763,26.88659603,1.666741156,0.145171711,0.192874513,402.7833333,5.963568945538818,1203.369640787949,2
499,4314,45385,4116,16.82376983,1.232288501,0.353645772,0.18829284,240.596,7.715600370885489,1015.263792304126,0
500,4314,37354,4064,21.38945782,0.428693934,0.059822174,0.205817818,285.3225,7.319610570236439,1153.923968474733,2
501,4292,46742,3934,39.00026949,4.31140717,0.13745401,0.766377204,248.105,5.516123019571296,1216.90890027959,0
502,4280,30156,2279,17.55703645,0.107799057,0.03674833,0.018444974,332.5966667,6.992196261682243,992.5343457943924,2
503,4276,69500,2828,17.46519825,0.994123193,0.537748344,0.1456321,209.215,7.479256314312441,1150.118101028999,0
504,4258,95865,7328,22.50811379,2.305078959,0.152978268,0.303613653,272.9183333,7.453029591357445,1338.6547674964772,2
505,4225,21125,3207,8.382568252,0.455062235,0.29405781,0.954197374,350.0333333,11.147313609467457,1233.8660355029583,2
506,4214,59922,2008,7.919282288,0.191614606,0.069595629,0.145466764,101.255,7.789819648789749,1059.1229235880398,0
507,4212,63301,4160,13.00231371,0.955654449,0.245839026,0.2228744,382.218,8.338010446343779,1113.068376068376,2
508,4147,25391,1189,14.65337617,6.396217186,0.292365481,1.150776053,92.54,6.014058355437665,965.7689896310586,0
509,4124,70962,2020,8.269614324,10.38205046,0.075026101,3.75147929,77.78,11.024903006789524,1392.7546071774975,2
510,4120,155640,6516,13.15896396,4.375223929,0.085117848,0.835876451,454.415,7.914684466019417,1276.656796116505,2
511,4117,102031,1656,23.51112533,1.463320175,0.7,0.125422298,460.005,6.707918387175128,1062.062666990527,0
512,4115,52045,4440,14.20078201,0.708437314,0.276161796,0.271774799,306.445,9.046391251518834,1114.0894289185906,2
513,4099,45625,4841,52.28185379,2.234748803,0.060958806,0.145654607,246.7666667,6.03620395218346,1215.0068309343742,0
514,4077,35884,3362,38.84715315,1.605740525,0.070157692,0.244253856,265.545,5.5,996.6384596517048,0
515,4053,49940,1983,19.20118054,1.326556598,0.300986815,0.130228137,343.33,6.753762644954355,1064.588946459413,0
516,4019,31081,1939,14.56293353,2.602023057,0.301998159,0.411891363,274.4833333,6.835307290370738,1030.2866384672805,0
517,4001,53885,3872,20.99055146,2.487912972,0.065968814,0.669508975,251.2366667,6.6305673581604605,1032.943264183954,0
518,3977,46083,2591,15.50300342,1.151353082,0.669397193,0.255993765,264.65,6.4761377923057575,1017.4314810158412,0
519,3880,87061,4789,16.27655392,2.637783544,0.580278562,0.443324065,233.02,6.931958762886598,934.9631443298967,0
520,3860,28875,1816,22.55796558,1.322725647,0.495056963,0.210282568,171.665,6.097564766839378,955.241450777202,0
521,3834,40156,2433,14.29670354,0.531798089,0.082067386,0.110383954,218.265,6.83471570161711,1032.0878977569118,0
522,3822,64750,5276,22.75215032,2.246294694,0.152658662,0.364454753,370.15,6.961878597592883,1178.5005232862377,2
523,3804,158026,1510,23.31162582,2.732554815,0.054712796,0.254676259,378.2,5.725368033648791,964.9787066246056,0
524,3800,42516,5581,45.41300743,10.35303938,0.122799157,1.081044839,288.34,6.97671052631579,1135.5286842105263,2
525,3795,76250,6360,24.67029992,2.117386897,0.05937396,0.263708572,252.934,7.291857707509881,1319.278787878788,2
526,3793,175000,5255,32.5766273,130.7284931,0.10062333,26.53227003,188.425,13.62127603480095,2172.5636699182705,1
527,3780,64419,6851,27.62401683,0.400125993,0.471751412,0.059642436,282.172,7.7192592592592595,1327.9825396825397,0
528,3758,51176,3678,42.8543733,0.511715856,0.155743229,0.03666974,343.7766667,6.622804683342204,1111.5896753592335,2
529,3745,150357,2043,15.16083337,2.804575314,0.076230632,0.532001332,245.425,6.28411214953271,1178.743391188251,0
530,3743,37909,3125,34.20880746,2.423168148,0.529156215,0.237453049,261.52,5.540929735506278,984.3307507347048,0
531,3720,37730,4721,56.84835389,2.222522457,0.352640545,0.144128206,218.1566667,6.405483870967743,1133.205376344086,0
532,3703,44286,1254,15.89971407,1.519730443,0.3490701,0.188369102,165.63,6.287415608965703,1012.8355387523628,0
533,3667,35058,2321,19.45478106,1.117295902,0.402429791,0.172525427,111.985,6.658521952549768,990.2683392418872,0
534,3599,73523,3552,9.543421527,1.298274322,0.130906295,1.049247787,464.03,7.105890525145873,1240.674076132259,2
535,3586,137083,1302,32.38072941,2.213429276,0.193536268,0.164814815,209.21,4.8420245398773005,1036.1932515337423,0
536,3582,46094,3814,12.84361894,0.591564297,0.077847009,0.129423209,420.4425,8.54927414852038,1092.0650474595195,2
537,3503,28315,2150,26.25507641,0.662520774,0.436356639,0.099980035,164.29,6.59035112760491,1023.365686554382,0
538,3473,36713,5020,41.30431962,1.572307676,0.300157723,0.122412296,255.4825,7.650849409732221,1287.0080621940683,0
539,3450,74659,2074,4.763159465,9.774352306,0.140495868,6.97704918,270.91,7.780782608695652,1222.3544927536232,2
540,3440,80337,5228,28.80362851,2.983858994,0.335206466,0.309172315,186.75,6.70186046511628,1118.6901162790698,0
541,3391,53965,3176,38.70591068,2.370667648,0.032693341,0.180059365,216.59,5.3751400766735475,940.670303745208,0
542,3292,57022,6530,24.22027656,0.997740214,0.515358362,0.13597225,263.932,7.2995443499392465,1237.0258201701097,0
543,3291,94836,5390,27.2843813,3.35106385,0.030181087,0.402181113,317.846,6.654451534487998,1072.2427833485262,2
544,3290,48859,6098,38.66763034,1.107036242,0.165344982,0.119124939,244.7525,7.048571428571428,1219.1574468085107,2
545,3265,56023,3663,14.15393603,0.591366608,0.445807771,0.199387981,347.015,9.13228177641654,1117.9136294027564,2
546,3249,52658,5707,49.56972019,2.780353172,0.278002112,0.128138995,364.1175,7.745060018467221,987.7768544167436,0
547,3245,116406,6186,11.70695998,1.853065891,0.325217931,0.454913039,451.9566667,6.788567026194145,1060.3371340523884,2
548,3230,74915,6638,19.17909196,2.277513206,0.291282642,0.620394837,312.48,7.450928792569659,1239.9978328173374,2
549,3206,70875,4264,37.09450856,4.328883049,0.018962867,0.377842756,307.5633333,6.255801621958827,1107.5492825951342,2
550,3179,65233,2547,15.57323332,0.366988945,0.549099816,0.060367351,415.3,7.78899024850582,1073.0789556464297,2
551,3150,46618,3746,38.06741275,10.68756367,0.127874808,0.904027698,412.395,5.61536507936508,1236.007619047619,2
552,3123,44911,2579,24.7973521,1.072346943,0.146963055,0.104061625,209.215,5.941690682036504,1018.0521934037783,0
553,3114,153472,4725,11.6953158,4.077187776,0.164253225,1.092760892,312.1475,7.47931920359666,1209.829800899165,2
554,3106,67604,5658,37.00563231,3.427815411,0.271411339,0.461704823,210.5566667,6.398486799742434,1261.6606567933034,0
555,3083,56250,2700,66.56503416,3.944521525,0.107054399,0.206430775,118.69,7.622737593253325,1150.9795653584172,0
556,3071,58929,1077,26.84408595,9.27205197,0.270029767,0.96875,218.6,4.544252686421361,861.545750569847,0
557,3065,76923,1842,24.18707402,5.449313636,0.150579151,0.657686212,226.65,5.879869494290375,991.3256117455138,0
558,3049,93281,5350,21.53895278,2.504865859,0.161092911,0.709200542,473.148,6.863889799934404,1185.8150213184651,2
559,3043,64438,4819,24.76838202,2.426828586,0.137727206,0.497747212,477.4366667,7.421459086427867,1257.1521524811042,2
560,3012,71364,3550,17.78598047,1.262168017,0.336661146,0.336822695,605.2933333,7.490903054448871,1097.5720451527225,2
561,3012,42976,2653,12.23459258,0.169693303,0.207523588,0.043964008,117.57,8.897875166002656,1220.7290836653387,0
562,2978,36985,1471,18.17277389,4.348617545,0.140468227,0.653061224,374.17,5.725083948959033,940.20920080591,2
563,2976,39659,3424,19.45410322,0.87942378,0.554400237,0.151455437,242.4075,8.84260752688172,1284.8924731182797,0
564,2966,37153,2018,8.996640987,1.487399547,0.421750663,0.465483972,413.065,7.3842211732973695,1051.4325691166557,2
565,2937,106029,2881,23.33951179,1.353219539,0.116982777,0.172104016,278.95,6.31109976166156,1017.5805243445692,0
566,2900,36802,1503,31.3732137,0.062621185,0.411089866,0.00456621,146.18,6.311103448275862,983.1013793103448,0
567,2889,45495,1275,21.10533699,3.757577644,0.345170455,0.519450801,387.58,6.577223952924887,1006.7320872274144,0
568,2877,41146,1376,11.99784527,5.170583027,0.104278304,1.202839757,371.49,6.739381299965242,998.8752172401807,2
569,2854,72437,4467,21.49065322,2.52873108,0.031826392,0.315555263,242.2966667,7.515381920112124,1158.33391730904,2
570,2845,46500,2758,15.49474169,3.596304079,0.094099333,0.693931333,253.475,6.210404217926186,1024.2400702987698,0
571,2837,60069,6034,37.78289414,0.885444136,0.227937703,0.101151679,260.51,6.902326401127953,1230.8526612618964,0
572,2791,28661,1426,8.985628472,0.316292003,0.181325783,0.077340485,236.4866667,7.191580078824794,1036.130060910068,0
573,2766,48523,3559,14.49584067,0.159686596,0.287909744,0.032897312,277.61,8.12411424439624,1065.1579898770788,2
574,2754,52986,2290,21.7696045,2.46990992,0.112846041,0.402800478,242.74,6.31437908496732,1064.6797385620914,0
575,2727,19444,2021,46.81773746,0.555975111,0.217397911,0.036474164,398.31,6.285001833516685,918.4884488448844,0
576,2715,106691,1748,16.96626449,6.1555752,0.414533568,1.277737752,226.65,6.005046040515654,1095.2195211786373,0
577,2699,47321,6655,23.92204482,2.97243296,0.009398585,1.407038182,270.235,6.193590218599481,1134.4842534271952,2
578,2679,79333,4428,10.7783812,4.954714486,0.06248285,1.024034162,486.558,5.904964539007092,1196.9447555057857,2
579,2660,99345,3599,21.486207,2.737240683,0.238395935,0.368205239,257.0433333,6.630563909774436,1174.7996240601503,0
580,2656,35846,3509,42.30131358,5.197592786,0.386020781,0.457075772,265.0933333,6.80316265060241,1158.3418674698796,0
